customer_id,subscriber_id,tariff_model,ARPA_2024,ARPA_2023,Revenue_2023,Revenue_2024,Active_discount,Data_usage (MB),Voice_usage,Roaming_usage,SMS_usage,Roaming option flag,Roaming option potential,Contract,Duration Type,Fees to charge,Contract start date,Tariff_model_price,Price_overshoot
19,93,xl,84.52,73.36,880.3199999999999,1014.24,18.46,8650,1140,106,214,Y,24,Y,6,24,1.2.2024,65,0.30030769230769216
19,5,xl,66.77,75.65,907.8000000000001,801.24,3.38,8852,2295,72,505,N,13,Y,12,24,1.2.2024,65,0.02723076923076917
19,57,s,16.79,17.08,204.95999999999998,201.48,24.97,5528,381,288,476,Y,86,Y,6,18,1.2.2024,15,0.11933333333333329
19,14,s,16.95,19.47,233.64,203.39999999999998,19.14,1147,4140,61,703,N,0,Y,12,11,1.2.2024,15,0.1299999999999999
19,49,s,19.84,19.09,229.07999999999998,238.07999999999998,6.36,1086,3391,307,789,N,18,N,24,19,1.2.2024,15,0.32266666666666666
19,15,l,45.67,41.96,503.52,548.04,22.74,1520,1041,343,499,Y,53,Y,24,16,1.2.2024,40,0.14175000000000004
19,71,l,58.93,40.18,482.15999999999997,707.16,9.89,8893,1905,377,888,Y,39,Y,12,24,1.2.2024,40,0.47324999999999995
19,64,xl,64.82,78.68,944.1600000000001,777.8399999999999,23.6,8515,3911,262,259,N,84,N,24,16,1.2.2024,65,-0.002769230769230857
19,27,s,21.23,17.17,206.04000000000002,254.76,16.26,1528,2760,492,355,N,30,Y,12,20,1.2.2024,15,0.41533333333333333
19,65,m,23.4,33.53,402.36,280.79999999999995,22.3,1553,3077,371,871,N,51,Y,24,7,1.2.2024,25,-0.06400000000000006
19,43,m,20.07,24.72,296.64,240.84,3.72,1351,1500,420,771,Y,3,Y,24,1,1.2.2024,25,-0.19720000000000004
19,39,s,16.26,17.98,215.76,195.12,24.04,2467,750,237,410,Y,91,N,6,6,1.2.2024,15,0.08400000000000007
19,92,m,33.57,36.21,434.52,402.84000000000003,15.65,2887,1968,274,419,Y,98,N,6,4,1.2.2024,25,0.3428
19,78,l,39.02,50.97,611.64,468.24,20.96,9390,392,355,887,Y,3,Y,12,8,1.2.2024,40,-0.024499999999999966
19,23,s,14.84,13.38,160.56,178.07999999999998,19.06,1236,2396,365,997,N,53,N,12,7,1.2.2024,15,-0.010666666666666713
19,20,m,32.17,24.96,299.52,386.04,0.28,9851,1831,213,525,Y,67,Y,6,7,1.2.2024,25,0.28680000000000017
19,7,xl,87.43,87.37,1048.44,1049.16,7.48,1631,2103,7,199,N,92,Y,24,0,1.2.2024,65,0.3450769230769233
19,66,s,21.71,19.51,234.12,260.52,1.69,3047,2886,123,393,Y,83,Y,24,0,1.2.2024,15,0.44733333333333336
19,48,xl,59.92,73.63,883.56,719.04,0.6,7334,2321,233,182,N,93,N,12,3,1.2.2024,65,-0.07815384615384613
19,69,l,35.61,42.99,515.88,427.32,3.98,875,4045,190,566,N,77,Y,12,23,1.2.2024,40,-0.10975000000000001
19,61,l,44.84,52.28,627.36,538.08,3.81,2062,560,207,404,Y,51,Y,24,16,1.2.2024,40,0.121
19,16,m,31.13,24.2,290.4,373.56,3.16,5236,3566,459,959,N,94,Y,12,21,1.2.2024,25,0.24519999999999986
19,86,l,56.02,44.8,537.5999999999999,672.24,1.22,3487,4790,391,270,N,41,Y,24,14,1.2.2024,40,0.4005000000000001
19,59,m,21.65,31.09,373.08,259.79999999999995,15.31,8176,274,93,676,N,12,Y,12,16,1.2.2024,25,-0.134
19,97,l,35.35,44.43,533.16,424.20000000000005,11.35,5220,1279,184,170,N,64,N,6,2,1.2.2024,40,-0.11624999999999996
19,13,xl,95.01,91.56,1098.72,1140.1200000000001,13.3,2247,3004,70,710,Y,28,N,24,2,1.2.2024,65,0.46169230769230785
19,60,s,17.39,18.82,225.84,208.68,9.25,4281,1453,100,744,N,21,N,12,3,1.2.2024,15,0.15933333333333333
19,96,m,37.18,24.28,291.36,446.15999999999997,19.38,9997,121,429,279,Y,16,N,24,23,1.2.2024,25,0.4872000000000001
19,90,m,31.2,26.44,317.28000000000003,374.4,23.85,7040,3518,74,128,Y,72,N,12,5,1.2.2024,25,0.248
19,79,xl,94.17,90.85,1090.1999999999998,1130.04,14.34,5350,1437,475,395,N,78,Y,12,4,1.2.2024,65,0.4487692307692308
19,53,m,26.36,26.96,323.52,316.32,10.94,4215,4521,424,214,Y,49,N,6,1,1.2.2024,25,0.054400000000000004
19,72,l,51.52,57.12,685.4399999999999,618.24,21.98,2473,4943,46,546,Y,33,N,12,12,1.2.2024,40,0.28800000000000003
19,19,l,51.31,33.63,403.56000000000006,615.72,0.05,615,2784,409,224,Y,52,N,24,0,1.2.2024,40,0.28275000000000006
19,99,s,14.5,13.8,165.60000000000002,174.0,18.98,2299,2791,48,126,N,48,N,24,19,1.2.2024,15,-0.033333333333333326
19,31,m,31.09,35.18,422.15999999999997,373.08,6.44,5905,4711,74,646,Y,65,N,6,16,1.2.2024,25,0.24360000000000004
19,76,l,44.65,33.98,407.76,535.8,20.2,3752,1738,265,308,Y,89,Y,12,4,1.2.2024,40,0.11624999999999996
19,67,l,59.1,47.31,567.72,709.2,14.09,6236,2373,421,217,Y,33,Y,12,18,1.2.2024,40,0.47750000000000004
19,26,s,16.78,16.22,194.64,201.36,19.82,2108,1020,39,284,N,28,Y,24,3,1.2.2024,15,0.1186666666666667
19,50,s,15.5,21.7,260.4,186.0,21.53,5303,2589,454,965,Y,50,Y,24,20,1.2.2024,15,0.03333333333333344
19,63,xl,82.96,80.32,963.8399999999999,995.52,24.14,8374,325,140,833,Y,33,N,6,5,1.2.2024,65,0.27630769230769214
19,75,l,36.15,55.98,671.76,433.79999999999995,9.24,5882,714,422,381,Y,85,Y,24,18,1.2.2024,40,-0.09625000000000006
19,18,xl,68.43,74.87,898.44,821.1600000000001,4.85,9319,1068,389,678,N,65,N,24,12,1.2.2024,65,0.0527692307692309
19,2,xl,56.52,65.18,782.1600000000001,678.24,0.09,9217,322,92,286,N,85,Y,6,16,1.2.2024,65,-0.1304615384615384
19,9,s,18.18,22.11,265.32,218.16,13.61,3044,162,394,446,N,64,N,24,7,1.2.2024,15,0.21199999999999997
19,17,l,54.59,44.91,538.92,655.08,5.17,627,1608,261,398,Y,26,N,6,6,1.2.2024,40,0.36475000000000013
19,81,xl,96.62,91.67,1100.04,1159.44,21.61,4299,3815,61,373,Y,73,Y,6,5,1.2.2024,65,0.4864615384615385
19,94,xl,53.64,59.95,719.4000000000001,643.6800000000001,17.37,5765,2009,441,571,Y,62,N,24,14,1.2.2024,65,-0.1747692307692308
19,91,m,27.81,35.89,430.68,333.71999999999997,20.95,7986,2514,7,559,Y,98,Y,24,16,1.2.2024,25,0.11240000000000006
19,1,xl,53.8,54.73,656.76,645.5999999999999,18.73,6603,4171,286,140,Y,54,N,12,16,1.2.2024,65,-0.17230769230769238
19,37,m,37.46,26.34,316.08,449.52,12.4,7508,1845,197,430,Y,1,N,12,5,1.2.2024,25,0.49839999999999995
19,41,s,21.72,15.25,183.0,260.64,11.26,3602,1896,148,924,Y,67,Y,6,5,1.2.2024,15,0.44799999999999995
19,6,l,59.17,35.74,428.88,710.04,18.3,9925,4887,296,109,Y,94,N,12,14,1.2.2024,40,0.47924999999999995
19,58,m,37.23,27.84,334.08,446.76,0.39,7835,608,65,841,Y,0,N,12,15,1.2.2024,25,0.48919999999999986
19,103,xl,83.77,67.27,807.24,1005.24,19.16,2027,2611,101,347,N,80,Y,24,5,1.2.2024,65,0.28876923076923067
19,56,l,58.84,35.28,423.36,706.08,12.82,8575,2267,282,610,N,54,Y,6,18,1.2.2024,40,0.4710000000000001
19,35,xl,69.31,58.73,704.76,831.72,15.02,7934,2409,294,984,Y,65,N,6,5,1.2.2024,65,0.0663076923076924
19,45,m,26.69,21.69,260.28000000000003,320.28000000000003,12.59,6339,1389,132,995,Y,94,Y,12,11,1.2.2024,25,0.0676000000000001
19,34,m,35.0,22.05,264.6,420.0,11.67,2211,4088,170,940,N,17,N,12,20,1.2.2024,25,0.3999999999999999
19,22,m,31.19,26.99,323.88,374.28000000000003,0.51,5846,2927,482,147,Y,19,Y,12,1,1.2.2024,25,0.24760000000000004
19,74,xl,76.43,57.03,684.36,917.1600000000001,24.84,3098,4247,16,969,Y,3,Y,24,2,1.2.2024,65,0.17584615384615399
19,8,m,21.49,31.65,379.79999999999995,257.88,13.04,6824,2839,358,811,N,29,N,12,11,1.2.2024,25,-0.14040000000000008
19,46,xl,88.23,97.14,1165.68,1058.76,23.81,3055,4700,324,167,N,86,N,12,6,1.2.2024,65,0.3573846153846154
19,84,xl,55.66,55.88,670.5600000000001,667.92,9.06,665,1515,285,128,N,73,N,6,7,1.2.2024,65,-0.14369230769230779
19,89,xl,54.51,93.46,1121.52,654.12,11.38,948,3900,73,954,Y,11,Y,12,19,1.2.2024,65,-0.16138461538461546
19,73,m,21.23,27.38,328.56,254.76,15.64,713,3456,314,775,Y,65,Y,12,7,1.2.2024,25,-0.15079999999999993
19,32,xl,96.92,86.55,1038.6,1163.04,16.0,3570,756,257,578,N,33,Y,24,8,1.2.2024,65,0.4910769230769232
19,95,s,17.21,19.16,229.92000000000002,206.52,8.63,1940,424,415,712,Y,31,N,12,12,1.2.2024,15,0.14733333333333332
19,51,m,30.13,22.98,275.76,361.56,23.21,2231,1460,320,179,Y,96,N,24,18,1.2.2024,25,0.20520000000000005
19,80,m,27.27,36.39,436.68,327.24,18.31,3899,4509,314,266,Y,13,Y,24,14,1.2.2024,25,0.09079999999999999
19,100,s,18.76,15.83,189.96,225.12,19.99,7913,3263,44,833,N,87,N,12,14,1.2.2024,15,0.2506666666666668
19,101,l,54.17,50.92,611.04,650.04,0.63,5541,2491,57,770,N,90,Y,24,15,1.2.2024,40,0.35424999999999995
19,42,m,27.93,28.64,343.68,335.15999999999997,4.8,736,4858,79,124,Y,40,Y,24,21,1.2.2024,25,0.11719999999999997
19,10,l,54.9,34.87,418.43999999999994,658.8,20.98,1111,4095,251,354,N,10,Y,12,3,1.2.2024,40,0.37250000000000005
19,40,m,30.44,22.06,264.71999999999997,365.28000000000003,15.9,2159,4646,477,366,N,51,Y,12,23,1.2.2024,25,0.21760000000000002
19,98,s,12.42,18.72,224.64,149.04,15.69,3081,3315,240,835,Y,17,N,12,3,1.2.2024,15,-0.17200000000000004
19,102,xl,87.03,68.26,819.1200000000001,1044.3600000000001,15.94,9816,4228,81,681,Y,37,N,24,22,1.2.2024,65,0.3389230769230769
19,30,xl,75.97,74.19,890.28,911.64,2.98,2515,286,383,944,N,92,N,6,8,1.2.2024,65,0.16876923076923078
